project,risk,status,compliance,report_count,has_schedule,scope,office,month,year,day,risk_previous1,risk_previous2,risk_previous3,project_risk_likelihood,estimated_days_finish,report_word_count,poa_word_count,manager_risk_likelihood,manager_project_count
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,em andamento,1.0,5,1,Estruturante,CENIN,4,2016,27.0,0,0,0,0.003816793893129771,248.0,66.3482280431433,24.486902927580893,0.012552301255230125,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,5,2016,17.13932980599647,0,0,0,0.01107011070110701,206.8941798941799,66.3482280431433,24.486902927580893,0.012096774193548387,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,em andamento,1.0,5,1,Estruturante,CENIN,5,2016,27.0,0,0,0,0.0036900369003690036,218.0,66.3482280431433,24.486902927580893,0.012096774193548387,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,6,2016,17.13932980599647,0,0,0,0.010714285714285714,206.8941798941799,66.3482280431433,24.486902927580893,0.011673151750972763,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,em andamento,1.0,5,1,Estruturante,CENIN,6,2016,27.0,0,0,0,0.0035714285714285713,187.0,66.3482280431433,24.486902927580893,0.011673151750972763,2
e8dac1ce177b23b488afb9323ffda70647726187,0.0,suspenso,,3,0,Estruturante,CENIN,7,2016,17.13932980599647,0,0,0,0.010452961672473868,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,0.0,em andamento,1.0,5,1,Estruturante,CENIN,7,2016,22.0,0,0,0,0.003484320557491289,162.0,66.3482280431433,24.486902927580893,0.011363636363636364,2
e8dac1ce177b23b488afb9323ffda70647726187,-1.0,suspenso,,3,0,Estruturante,CENIN,8,2016,17.13932980599647,0,0,0,0.01020408163265306,206.8941798941799,66.3482280431433,24.486902927580893,0.01107011070110701,2
b78d0069377b3613db0fc5b584c4662ede5a1d52,-1.0,em andamento,1.0,5,1,Estruturante,CENIN,8,2016,26.0,0,0,0,0.003401360544217687,127.0,66.3482280431433,24.486902927580893,0.01107011070110701,2
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,10,2015,17.13932980599647,0,0,0,0.00625,206.8941798941799,66.3482280431433,24.486902927580893,0.014598540145985401,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,11,2015,17.13932980599647,0,0,0,0.005434782608695652,206.8941798941799,66.3482280431433,24.486902927580893,0.012422360248447204,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,12,2015,17.13932980599647,0,0,0,0.004830917874396135,206.8941798941799,66.3482280431433,24.486902927580893,0.010869565217391304,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,1,2016,17.13932980599647,0,0,0,0.004464285714285714,206.8941798941799,66.3482280431433,24.486902927580893,0.009950248756218905,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,2,2016,17.13932980599647,0,0,0,0.004310344827586207,206.8941798941799,66.3482280431433,24.486902927580893,0.009569377990430622,1
